doenca,texto,gravidade,urgencia,especialidade,orientacao
Infarto,"Sinto tontura, falta de ar, nausea há dias",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Tenho sentido falta de ar, tontura",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Estou com tontura, nausea, suor frio",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Ando com dor no braço, nausea, suor frio, tontura recentemente",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Venho apresentando dor no peito, falta de ar, tontura, suor frio",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Estou com nausea, suor frio",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Tenho sentido suor frio, dor no braço",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Sinto falta de ar, dor no braço, nausea, dor no peito há dias",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Ando com nausea, dor no braço recentemente",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Sinto falta de ar, dor no braço, nausea há dias",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Venho apresentando suor frio, falta de ar, nausea, tontura",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Estou com dor no braço, dor no peito",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Apresento nausea, dor no braço, falta de ar, suor frio",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Apresento dor no peito, falta de ar, dor no braço",alta,sim,Cardiologia,Procure emergência imediatamente
Infarto,"Venho apresentando dor no peito, tontura, falta de ar, dor no braço, nausea",alta,sim,Cardiologia,Procure emergência imediatamente
Otite,"Estou com febre leve, dor no ouvido, coceira",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Venho apresentando dor no ouvido, coceira, ouvido tampado",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Sinto dor no ouvido, ouvido tampado, febre leve, secrecao há dias",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Apresento dor no ouvido, coceira, febre leve",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Venho apresentando secrecao, dor no ouvido",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Sinto dor no ouvido, secrecao, febre leve, ouvido tampado, coceira há dias",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Sinto febre leve, secrecao, ouvido tampado, dor no ouvido há dias",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Tenho sentido ouvido tampado, dor no ouvido",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Sinto coceira, secrecao, dor no ouvido, ouvido tampado há dias",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Venho apresentando febre leve, dor no ouvido",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Ando com coceira, dor no ouvido, secrecao, ouvido tampado recentemente",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Estou com coceira, dor no ouvido, secrecao, ouvido tampado",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Venho apresentando dor no ouvido, secrecao, ouvido tampado, febre leve",media,nao,Otorrino,Procure um otorrinolaringologista
Otite,"Venho apresentando ouvido tampado, febre leve, coceira, dor no ouvido, secrecao",media,nao,Otorrino,Procure um otorrinolaringologista
