texto,diagnostico
dor muscular tremores perda de reflexos,Esclerose Lateral
febre rash pálido,Lúpus
dor muscular tremedeira fraqueza disartria perda de reflexos,Esclerose Lateral
vista embaçada fraqueza fadiga disartria visão dupla dificuldade para engolir,Miastenia Gravis
exaustão febre manchas pele confusao,Febre Maculosa
artralgia manchas na pele fotofobia fadiga temp alta fraqueza urticária,Lúpus
dificuldade falar visao turva exaustao fraqueza visão dupla dificuldade para engolir,Miastenia Gravis
manchas pele febre dor muscular,Doença de Lyme
artralgia febre manchas na pele cansaco confusao,Doença de Lyme
confusão manchas pele dor muscular tremores,Febre Maculosa
dor muscular dificuldade falar astenia tremedeira fadiga,Esclerose Lateral
dor musculo cansaço desorientacao dores articulares,Febre Maculosa
fadiga fala arrastada visão turva dificuldade para engolir,Miastenia Gravis
debilidade dificuldade falar cansaco visão turva,Miastenia Gravis
artralgia fadiga erupção fraqueza dor muscular,Doença de Lyme
dor muscular tremor rigidez muscular fadiga tremor dor muscular,Esclerose Lateral
rash dores articulares hipertermia cansaco urticária calvície,Lúpus
fraqueza dores articulares,Fibromialgia
tremedeira mialgia astenia rigidez muscular,Esclerose Lateral
hipertermia exaustão,Febre Maculosa
dor articular fadiga,Lúpus
febre dor muscular desorientacao cansaço rash,Febre Maculosa
emagrecimento febre,Doença de Crohn
erupção dor muscular debilidade,Febre Maculosa
dor articular manchas na pele fadiga,Doença de Lyme
perda de peso cansaço pálido hipotensão hiperpigmentação,Doença de Addison
fala lenta fraqueza dor musculo perda de reflexos rigidez muscular,Esclerose Lateral
dor musculo febre erupção confusão dor articular,Febre Maculosa
dor musculo debilidade tremedeira disartria rigidez muscular,Esclerose Lateral
dor na barriga fadiga fadiga dor na barriga,Doença de Crohn
fala lenta dor muscular,Esclerose Lateral
fadiga perda peso febr,Doença de Crohn
rash cansaço dor muscular desorientação febr fraqueza dores articulares,Febre Maculosa
fraqueza tremores,Esclerose Lateral
fadiga dor articular erupção fotofobia urticária palidez,Lúpus
febr dor articular,Doença de Lyme
fadiga sensibilidade à luz palido astenia,Lúpus
cansaço fala lenta visão turva fraqueza,Miastenia Gravis
artralgia exaustão urticaria,Lúpus
fala arrastada debilidade visão embaçada fadiga,Miastenia Gravis
pressao baixa palidez exaustao perda peso,Doença de Addison
febre peso baixo dor estomago debilidade,Doença de Crohn
erupção hipertermia exaustão artralgia desorientacao,Doença de Lyme
exaustao mialgia desorientação dores articulares debilidade,Febre Maculosa
perda de peso dor na barriga azia fraqueza,Doença de Crohn
erupção temperatura exaustao dor nas juntas debilidade,Doença de Lyme
hipotensao palido hiperpigmentação,Doença de Addison
hipertermia artralgia manchas na pele fotofobia fadiga urticária,Lúpus
febre fadiga fraqueza,Doença de Crohn
exaustão fraqueza alteração de humor,Fibromialgia
cansaco palidez emagrecimento hiperpigmentação astenia,Doença de Addison
hipertermia fadiga,Doença de Crohn
emagrecimento fadiga refluxo gastrico,Doença de Crohn
perda de peso febre fadiga dor na barriga,Doença de Crohn
fraqueza dores articulares dores crônicas alteração de humor,Fibromialgia
perda de peso febre fadiga dor abdominal,Doença de Crohn
