doenca,sintomas,gravidade,urgencia,especialidade,orientacao
Otite,leve desconforto zumbido dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha dor intensa no ouvido zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,ouvido tampado dor intensa no ouvido sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto dor intensa no ouvido ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido ouvido tampado sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto ouvido tampado dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha coceira febre alta,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido leve desconforto ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,ouvido tampado dor intensa no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido dor intensa no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira leve desconforto febre alta,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto coceira dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto febre alta coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto febre alta zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido coceira leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto coceira secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha zumbido febre alta,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto coceira dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido secreção no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido sensação estranha zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha coceira dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,febre alta sensação estranha coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido leve desconforto ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto secreção no ouvido zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido dor intensa no ouvido sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido zumbido sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido sensação estranha dor intensa no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira leve desconforto secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha febre alta zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto febre alta zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido sensação estranha zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto dor intensa no ouvido zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido coceira leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido sensação estranha secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira secreção no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido sensação estranha secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,ouvido tampado febre alta leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha secreção no ouvido coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha coceira secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido zumbido sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido leve desconforto ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira secreção no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,febre alta ouvido tampado sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido zumbido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido leve desconforto coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha dor intensa no ouvido zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido leve desconforto coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,dor intensa no ouvido leve desconforto ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto secreção no ouvido ouvido tampado,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira leve desconforto secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,zumbido sensação estranha secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira dor intensa no ouvido sensação estranha,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto ouvido tampado febre alta,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha secreção no ouvido zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido coceira leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,leve desconforto zumbido secreção no ouvido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,sensação estranha secreção no ouvido coceira,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,secreção no ouvido leve desconforto zumbido,media,nao,Otorrino,Procurar otorrinolaringologista
Otite,coceira dor intensa no ouvido leve desconforto,media,nao,Otorrino,Procurar otorrinolaringologista
